symbol,name,exchange,sector,benchmark_symbol,peers
AAPL,Apple Inc.,NASDAQ,Technology,MSFT,MSFT|GOOGL
MSFT,Microsoft Corp.,NASDAQ,Technology,MSFT,AAPL|GOOGL
GOOGL,Alphabet Inc.,NASDAQ,Technology,MSFT,AAPL|MSFT
INFY.NS,Infosys,NSE,Technology,MSFT,TCS.NS|WIPRO.NS
TCS.NS,Tata Consultancy Services,NSE,Technology,MSFT,INFY.NS|WIPRO.NS
WIPRO.NS,Wipro Ltd.,NSE,Technology,MSFT,INFY.NS|TCS.NS
HCLTECH.NS,HCL Technologies,NSE,Technology,MSFT,TCS.NS|INFY.NS
TECHM.NS,Tech Mahindra,NSE,Technology,MSFT,INFY.NS|WIPRO.NS
NVDA,NVIDIA Corp.,NASDAQ,Semiconductors,NVDA,AMD|INTC
AMD,Advanced Micro Devices,NASDAQ,Semiconductors,NVDA,NVDA|INTC
INTC,Intel Corp.,NASDAQ,Semiconductors,NVDA,NVDA|AMD
QCOM,Qualcomm Inc.,NASDAQ,Semiconductors,NVDA,NVDA|AMD
MU,Micron Technology,NASDAQ,Semiconductors,NVDA,NVDA|AMD
TSLA,Tesla Inc.,NASDAQ,Automotive,TSLA,F|GM
F,Ford Motor Co.,NASDAQ,Automotive,TSLA,TSLA|GM
GM,General Motors,NASDAQ,Automotive,TSLA,TSLA|F
TATAMOTORS.NS,Tata Motors,NSE,Automotive,TSLA,MARUTI.NS
MARUTI.NS,Maruti Suzuki,NSE,Automotive,TSLA,TATAMOTORS.NS
HDFCBANK.NS,HDFC Bank,NSE,Banking,HDFCBANK.NS,ICICIBANK.NS|SBIN.NS
ICICIBANK.NS,ICICI Bank,NSE,Banking,HDFCBANK.NS,HDFCBANK.NS|SBIN.NS
SBIN.NS,State Bank of India,NSE,Banking,HDFCBANK.NS,HDFCBANK.NS|ICICIBANK.NS
KOTAKBANK.NS,Kotak Mahindra Bank,NSE,Banking,HDFCBANK.NS,HDFCBANK.NS|ICICIBANK.NS
AXISBANK.NS,Axis Bank,NSE,Banking,HDFCBANK.NS,HDFCBANK.NS|ICICIBANK.NS
JPM,JPMorgan Chase & Co.,NYSE,Banking,HDFCBANK.NS,BAC|WFC
BAC,Bank of America Corp.,NYSE,Banking,HDFCBANK.NS,JPM|WFC
WFC,Wells Fargo & Co.,NYSE,Banking,HDFCBANK.NS,JPM|BAC
RELIANCE.NS,Reliance Industries,NSE,Energy,RELIANCE.NS,ONGC.NS
ONGC.NS,Oil & Natural Gas Corp.,NSE,Energy,RELIANCE.NS,RELIANCE.NS
XOM,Exxon Mobil Corp.,NYSE,Energy,RELIANCE.NS,CVX
CVX,Chevron Corp.,NYSE,Energy,RELIANCE.NS,XOM
SUNPHARMA.NS,Sun Pharmaceutical,NSE,Pharma,SUNPHARMA.NS,DRREDDY.NS
DRREDDY.NS,Dr. Reddy's Laboratories,NSE,Pharma,SUNPHARMA.NS,SUNPHARMA.NS
HINDUNILVR.NS,Hindustan Unilever,NSE,FMCG,HINDUNILVR.NS,ITC.NS
ITC.NS,ITC Ltd.,NSE,FMCG,HINDUNILVR.NS,HINDUNILVR.NS
TATASTEEL.NS,Tata Steel,NSE,Metals,TATASTEEL.NS,JSWSTEEL.NS
JSWSTEEL.NS,JSW Steel,NSE,Metals,TATASTEEL.NS,TATASTEEL.NS
